drugName	cui	tty
(1-6)-alpha-glucomannan	C0043572	IN
1 Plus 1 F	C0718125	BN
1-ALPHA-VITAMIN D	C1166176	IN
1-octacosanol	C0044548	IN
1/2 Halfprin	C1306680	BN
10 Benzagel	C0305091	BN
12 Hour Cold	C0718128	BN
12 Hour Nasal Tablet	C0718130	BN
169 Ytterbium	C0303739	IN
17-alpha-hydroxy-progesterone caproate	C0044971	IN
2-Bromoergocryptine Mesylate	C0546852	IN
2-ethylhexyl salicylate	C0304632	IN
2-phenylbenzimidazole-5-sulfonic acid	C0046519	IN
3-Iodobenzylguanidine	C0047506	IN
4 Face Up	C1588999	BN
4-Aminobenzoate	C1703206	IN
4-Aminobenzoic Acid	C0000473	IN
4-Aminohippuric Acid	C0030123	IN
4-Way Fast Acting Nasal Spray	C0718131	BN
4-Way Saline	C1876723	BN
4-Way	C1813909	BN
4-aminomethylbenzoic acid	C0048045	IN
4-chlorophenol	C0048197	IN
4-cresyl acetate	C0048215	IN
4-cymene	C0048220	IN
4-dimethylaminophenol hydrochloride	C0772259	IN
4-dimethylaminophenol	C0048250	IN
40 Winks	C0718132	BN
4000 CPS	C1616197	IN
5 Benzagel	C0305090	BN
5 Face Up	C1589005	BN
5,6,7,8-tetrahydrobiopterin	C0048897	IN
5-Hydroxytryptophan	C0000578	IN
5-methoxypsoralen	C0049289	IN
5-methyl-8-hydroxyquinoline	C0049301	IN
6-Aminocaproic Acid	C0000608	IN
6-Mercaptopurine	C0000618	IN
6-acetylaminocaproic acid	C0049477	IN
60 Second	C1702566	BN
666 Cold Preparation	C1948442	BN
8-MOP	C0740123	BN
82 Strontium	C0303542	IN
85 Strontium	C0303544	IN
99 Molybdenum	C0303458	IN
A Tan-12X	C1724665	BN
A+D Original	C1948559	BN
A-200 Lice Control	C0718134	BN
A-25	C0718136	BN
A-Cillin	C0718137	BN
A-Fil	C0718138	BN
A-G Tussin	C0718139	BN
A-Hydrocort	C0701090	BN
A-MethaPred	C0701467	BN
A-Phedrin	C0718140	BN
A-Spas S/L	C0718141	BN
A.P.L.	C0718142	BN
A.R.M. Allergy Relief	C0718143	BN
A.T.O. Mepivacaine	C1589040	BN
A.T.O. epinephrine lidocaine combination	C1589046	BN
A.T.O.	C1588909	BN
A/B Otic	C0718144	BN
A/Fish Oil	C0718145	BN
A/T/S	C0718146	BN
AA&C	C0718147	BN
ABG Pulsator	C1589665	BN
ACEBROPHYLLINE	C1106110	IN
ACEL-IMUNE	C0728746	BN
ACETIAMINE HCL	C0771560	IN
ACETIAMINE	C0771559	IN
ACETIC	C0981805	IN
ACETYLSALICYLATE SODIUM	C0981808	IN
ACIDOPHILUS	C0718215	BN
ACT Fluoride Rinse	C0718149	BN
ACTH Gel	C0308222	BN
ACTH-40 HP	C0718150	BN
ACTH-80	C0718151	BN
ADIPHENINE HCL	C0770464	IN
ADRENOCORTICOTROPIN (ACTH 1-18),I-125 (TYR)	C0981813	IN
AHF-M	C0718154	BN
AK-Beta	C0718155	BN
AK-Chlor	C0718156	BN
AK-Cide	C0718157	BN
AK-Con-A	C0305104	BN
AK-Con	C0701902	BN
AK-Dex	C0718158	BN
AK-Dilate	C0718159	BN
AK-Fluor	C0718160	BN
AK-NaCl	C0718161	BN
AK-Nefrin	C0718162	BN
AK-Neo-Dex	C0718163	BN
AK-Pentolate	C0305114	BN
AK-Poly-Bac	C0718164	BN
AK-Pred	C0305116	BN
AK-Pro	C0718165	BN
AK-Spore HC Ointment	C1875941	BN
AK-Spore HC	C0718167	BN
AK-Spore	C0483228	BN
AK-Sulf	C0728752	BN
AK-T-Caine	C0718169	BN
AK-Taine	C0701336	BN
AK-Tob	C0718170	BN
AK-Trol	C0718172	BN
ALBAY Wasp Venom	C1256292	BN
ALBUMIN,AGGREGATED	C0991769	IN
ALBUMIN,CHROMATED CR-51 SERUM	C0981814	IN
ALBUMIN,IODINATED I-125 SERUM	C0991770	IN
ALBUMIN,IODINATED I-131 SERUM	C0981816	IN
ALBUMIN,MICROSPHERE HUMAN SERUM	C0981817	IN
ALFALFA OIL	C1106203	IN
ALIBENDOL	C0771472	IN
ALIMTA	C1101816	BN
ALLERGENIC EXTRACT, 10 TREE MIX	C0991772	IN
ALLERGENIC EXTRACT, 10 TREE	C0981821	IN
ALLERGENIC EXTRACT, 2 GRASS MIX	C0981822	IN
ALLERGENIC EXTRACT, 3 GRASS MIX, SOUTHERN	C0981823	IN
ALLERGENIC EXTRACT, 3 GRASS, SOUTHERN	C0981824	IN
